Component 0: energy, climate, environment, sustainable, environmental, eu, change, development, policy, emissions, europe, waste, protection, new, economic
Component 1: climate, energy, change, transition, crisis, green, carbon, need, eu, prices, europe, neutrality, ukraine, digital, gas
Component 2: energy, security, efficiency, renewable, sources, market, nuclear, russia, supply, gas, member, states, baltic, dependence, report
Component 3: sustainable, eu, voted, report, favour, growth, development, economic, fisheries, agreement, fishing, market, member, resources, support
Component 4: emissions, eu, waste, climate, report, change, co, carbon, voted, efficiency, greenhouse, trading, reduce, important, targets
Component 5: waste, sustainable, plastic, transition, food, emissions, environment, war, ukraine, prices, eu, health, inflation, circular, pollution
Component 6: environment, eu, climate, health, protection, cyprus, policy, report, support, paris, greece, energy, additives, rights, human
Component 7: eu, sustainable, environmental, policy, waste, important, growth, baltic, development, nuclear, europe, countries, common, good, way
Component 8: waste, change, plastic, environment, circular, management, plastics, states, development, economy, new, cyprus, president, member, water
Component 9: sustainable, development, europe, committee, renewable, paris, trade, council, report, energy, social, goals, dec, agreement, want
Component 10: emissions, protection, plastic, environment, co, new, transport, environmental, reduce, social, europe, important, therefore, use, reducing
Component 11: development, emissions, security, president, paris, goals, change, ukraine, human, agreement, russia, russian, trade, environmental, united
Component 12: dec, economic, social, behalf, com, committee, discharge, growth, budget, market, financial, budgetary, council, nuclear, petri
Component 13: dec, environmental, transition, waste, discharge, implementation, budget, biodiversity, neutrality, pollution, member, com, digital, development, budgetary
Component 14: nuclear, carbon, development, biodiversity, environment, support, radioactive, power, emissions, agency, neutrality, green, sustainable, ireland, particular
Component 15: environmental, efficiency, change, health, biodiversity, farmers, food, agriculture, dec, water, human, energy, social, pesticides, hungarian
Component 16: dec, policy, farmers, food, emissions, sustainable, discharge, com, budgetary, ukraine, support, change, financial, petri, sarvamaa
Component 17: ozone, geothermal, climate, plastic, layer, fisheries, nuclear, regulation, farmers, depleting, substances, gases, refrigerants, agriculture, pollution
Component 18: plastic, policy, fisheries, transition, pollution, sea, fishing, marine, environment, president, support, baltic, continue, common, ozone
Component 19: policy, nuclear, environmental, change, voted, development, report, favour, climate, renewable, prices, support, ukraine, continue, social
